province,commodity,area,value
Bali,Jumlah/Total,total,1872760.0
Banten,Padi-padian/Cereals,urban,93070.0
Banten,Umbi-umbian/Tubers,urban,9564.0
Banten,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,urban,68044.0
Banten,Daging/Meat,urban,46913.0
Banten,Telur dan susu/Eggs and milk,urban,47197.0
Banten,Sayur-sayuran/Vegetables,urban,68098.0
Banten,Kacang-kacangan/Legumes,urban,16297.0
Banten,Buah-buahan/Fruits,urban,48083.0
Banten,Minyak dan kelapa/Oil and coconut,urban,18633.0
Banten,Bahan minuman/Beverages stuffs,urban,21799.0
Banten,Bumbu-bumbuan/Spices,urban,17904.0
Banten,Konsumsi lainnya/Miscellaneous food items,urban,15693.0
Banten,Makanan dan minuman jadi/Prepared food and beverages,urban,325888.0
Banten,Rokok/Cigarettes,urban,108623.0
Banten,Jumlah makanan/Total food,urban,905807.0
Banten,Perumahan dan fasilitas rumah tangga/Housing and household facilities,urban,554494.0
Banten,Aneka barang dan jasa/Goods and services,urban,241467.0
Banten,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",urban,42882.0
Banten,Barang tahan lama/Durable goods,urban,54465.0
Banten,"Pajak, pungutan, dan asuransi/Taxes and insurance",urban,84085.0
Banten,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,urban,33153.0
Banten,Jumlah bukan makanan/Total non-food,urban,1010546.0
Banten,Jumlah/Total,urban,1916352.0
Banten,Padi-padian/Cereals,rural,115150.0
Banten,Umbi-umbian/Tubers,rural,5956.0
Banten,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,rural,51633.0
Banten,Daging/Meat,rural,23978.0
Banten,Telur dan susu/Eggs and milk,rural,23197.0
Banten,Sayur-sayuran/Vegetables,rural,50989.0
Banten,Kacang-kacangan/Legumes,rural,13325.0
Banten,Buah-buahan/Fruits,rural,42684.0
Banten,Minyak dan kelapa/Oil and coconut,rural,16403.0
Banten,Bahan minuman/Beverages stuffs,rural,21468.0
Banten,Bumbu-bumbuan/Spices,rural,16715.0
Banten,Konsumsi lainnya/Miscellaneous food items,rural,12686.0
Banten,Makanan dan minuman jadi/Prepared food and beverages,rural,210354.0
Banten,Rokok/Cigarettes,rural,140283.0
